rank,id,asset_id,attributes/0/traitType,attributes/0/value,attributes/0/percentage,attributes/1/traitType,attributes/1/value,attributes/1/percentage,attributes/2/traitType,attributes/2/value,attributes/2/percentage,attributes/3/traitType,attributes/3/value,attributes/3/percentage,attributes/4/traitType,attributes/4/value,attributes/4/percentage,attributes/5/traitType,attributes/5/value,attributes/5/percentage,attributes/6/traitType,attributes/6/value,attributes/6/percentage,attributes/7/traitType,attributes/7/value,attributes/7/percentage,attributes/8/traitType,attributes/8/value,attributes/8/percentage,score,attributes/9/traitType,attributes/9/value,attributes/9/percentage
9420,15,72be3c94c41bc5cad7c0cb3b73a17a94,Attack,10,28.78,Barrel,Brute - Sidearm,3.22,Cartridge,Mono Chamber,20.10,Category,Firearm,50.00,Color Scheme,Rusty,5.91,Defense,8,22.62,Energy Type,Helios,19.63,Grip,Serrated,4.85,Weapon Type,Sidearm,16.94,94.46298835287297,,,
1086,16,2aaa8ac81cca78bf179161d9b2cfbc02,Attack,11,26.75,Barrel,Ironside - SMG,3.94,Cartridge,Mono Chamber,20.10,Category,Firearm,50.00,Color Scheme,Chrome,0.84,Defense,10,22.66,Energy Type,Valorite,10.09,Grip,Arch,7.06,Stock,Compact,4.30,213.2108678750849,Weapon Type,SMG,15.81
9962,17,4b206a27ea61dea7c01dccf36a680193,Attack,9,14.61,Barrel,Warhawk - Sidearm,4.45,Cartridge,Reinforced,15.15,Category,Firearm,50.00,Color Scheme,Scratched Black Paint,6.06,Defense,8,22.62,Energy Type,Helios,19.63,Grip,Widow,7.87,Weapon Type,Sidearm,16.94,82.5436253322095,,,
5919,18,824df4b00858db8544ca1f841c901f0e,Attack,11,26.75,Blade,The Butcher,2.76,Category,Bladed,50.00,Color Scheme,Light Camo,5.36,Defense,10,22.66,Energy Type,Helios - Charged,10.13,Handle,Bolstered,3.60,Pomel,Icosa,8.33,Weapon Type,Knife,20.23,119.63738264095252,,,
2487,19,3211ebba259825f1d68adb6defc4ce2d,Attack,11,26.75,Blade,Wolf Fang,1.11,Category,Bladed,50.00,Color Scheme,Tech Lines,3.96,Defense,10,22.66,Energy Type,HyperLight - Focused,15.74,Handle,Ladder Grip,8.14,Pomel,Icosa,8.33,Weapon Type,Knife,20.23,161.08020385545393,,,
9006,20,fb14a26746246e6dd797e3790901dd1c,Attack,9,14.61,Barrel,Warhawk - Sidearm,4.45,Cartridge,Hexdrum,9.66,Category,Firearm,50.00,Color Scheme,Dark Camo,5.21,Defense,7,7.57,Energy Type,HyperLight,20.07,Grip,Hollow Glow,8.05,Weapon Type,Sidearm,16.94,97.38051055565519,,,
5251,21,9418b8ecec9eb4939d84b907957a8931,Attack,11,26.75,Barrel,Front Line,2.13,Cartridge,Mono Chamber,20.10,Category,Firearm,50.00,Color Scheme,Tech Panels,5.19,Defense,9,30.42,Energy Type,Helios,19.63,Grip,Arch,7.06,Stock,Circut,5.08,125.48563217164386,Weapon Type,SMG,15.81
9509,22,de559054f1d7db0f3fd60e20e2598bf9,Attack,9,14.61,Barrel,Warhawk - Sidearm,4.45,Cartridge,Mono Chamber,20.10,Category,Firearm,50.00,Color Scheme,Scratched Black Paint,6.06,Defense,7,7.57,Energy Type,Helios,19.63,Grip,Sheared,6.10,Weapon Type,Sidearm,16.94,93.39422510259452,,,
1106,23,fe7547629b0a0a8dd7a485b424744519,Attack,12,16.48,Blade,Rose Thorn,3.05,Category,Bladed,50.00,Color Scheme,Irridescent Black,0.85,Defense,10,22.66,Energy Type,AntiMatter - Dark,5.73,Handle,Encased,7.95,Pomel,Orical,7.42,Weapon Type,Knife,20.23,211.36583391384164,,,
7243,24,fbd28c50588b3e2ac2758fdc45284772,Attack,10,28.78,Blade,Hatchet,3.25,Category,Bladed,50.00,Color Scheme,Tech Lines,3.96,Defense,8,22.62,Energy Type,AntiMatter,13.39,Handle,Charged,5.52,Pomel,Link,9.40,Weapon Type,Axe,13.57,109.50895422921961,,,
8096,25,b8f1808d1f96b452600af902ac3fb51c,Attack,11,26.75,Blade,Battle Axe,2.96,Category,Bladed,50.00,Color Scheme,Sandstorm,5.70,Defense,9,30.42,Energy Type,Helios - Charged,10.13,Handle,Ladder Grip,8.14,Pomel,Orical,7.42,Weapon Type,Axe,13.57,103.3562384728321,,,
7270,26,d039bc0e6db09c87ad62ad5ecca35cdf,Attack,9,14.61,Blade,Breaker,3.11,Category,Bladed,50.00,Color Scheme,Silver Panels,3.76,Defense,10,22.66,Energy Type,Helios,19.63,Handle,Ladder Grip,8.14,Pomel,Spiral,7.28,Weapon Type,Sword,16.20,109.29613418247241,,,
3469,27,c42fc80b9b53d793508728faf0f21925,Attack,12,16.48,Blade,Hollow Point,3.42,Category,Bladed,50.00,Color Scheme,Midnight Blue,6.35,Defense,10,22.66,Energy Type,Valorite - Concentrated,5.15,Handle,Encased,7.95,Pomel,Gyroscope,1.98,Weapon Type,Knife,20.23,144.91311772596092,,,
9058,28,f3657eb46a945fbed71bb525c89bd2cd,Attack,9,14.61,Blade,Straight Edge,3.31,Category,Bladed,50.00,Color Scheme,Midnight Blue,6.35,Defense,9,30.42,Energy Type,HyperLight - Focused,15.74,Handle,Conical,7.86,Pomel,Spiral,7.28,Weapon Type,Sword,16.20,97.07643951139659,,,
3730,29,9d43013e8352dfd60c668d38cfc5c94c,Attack,10,28.78,Barrel,Ironside - SMG,3.94,Cartridge,Reinforced,15.15,Category,Firearm,50.00,Color Scheme,Gold Plated,2.22,Defense,9,30.42,Energy Type,Helios,19.63,Grip,Recurved,4.07,Stock,Fixed Hollow,5.03,141.6584563839432,Weapon Type,SMG,15.81
5962,30,f3ca1da24a84a72d604c6ef5dbb50bb0,Attack,10,28.78,Barrel,Warhawk - SMG,4.30,Cartridge,Mono Chamber,20.10,Category,Firearm,50.00,Color Scheme,Rusty,5.91,Defense,10,22.66,Energy Type,AntiMatter - Dark,5.73,Grip,Serrated,4.85,Stock,Fixed Hollow,5.03,119.31550001069738,Weapon Type,SMG,15.81
9932,31,0f965a6cdbad2e6c8d049876b103e47e,Attack,10,28.78,Barrel,Warhawk - Sidearm,4.45,Cartridge,Mono Chamber,20.10,Category,Firearm,50.00,Color Scheme,Scratched White Paint,5.66,Defense,9,30.42,Energy Type,Valorite,10.09,Grip,Arch,7.06,Weapon Type,Sidearm,16.94,83.85512160176653,,,
1284,32,ab6f715ac4d005524bb8818ccab16ea8,Attack,13,7.36,Blade,Barbarian,1.98,Category,Bladed,50.00,Color Scheme,Gold Plated,2.22,Defense,12,4.18,Energy Type,Valorite - Concentrated,5.15,Handle,Conical,7.86,Pomel,Beacon,3.71,Weapon Type,Sword,16.20,200.32763649024608,,,
2616,33,7c2261cf6e76f022d3139c917a3518dc,Attack,10,28.78,Blade,Falcon Wing,2.46,Category,Bladed,50.00,Color Scheme,Tech Panels,5.19,Defense,9,30.42,Energy Type,HyperLight,20.07,Handle,Encrusted,1.47,Pomel,Link,9.40,Weapon Type,Sword,16.20,158.5010846822621,,,
3447,34,7c934359ea3ebe952b2fc28ec8d00ce5,Attack,11,26.75,Barrel,Warhawk - Blaster,2.20,Cartridge,Mono Chamber,20.10,Category,Firearm,50.00,Color Scheme,Rusty,5.91,Defense,9,30.42,Energy Type,Helios,19.63,Grip,Flintlock,2.02,Weapon Type,Blaster,7.04,145.17951179698304,,,
8344,35,d759829a1c5e91d0e86aed857b3a794f,Attack,9,14.61,Barrel,Warhawk - Sidearm,4.45,Cartridge,Reinforced,15.15,Category,Firearm,50.00,Color Scheme,Luminescent,3.61,Defense,8,22.62,Energy Type,Helios,19.63,Grip,Serrated,4.85,Weapon Type,Sidearm,16.94,101.65488258819914,,,
2583,36,54ff9034455c52af4dc178083e04aa3e,Attack,12,16.48,Blade,Halberd,1.60,Category,Bladed,50.00,Color Scheme,Tech Lines,3.96,Defense,9,30.42,Energy Type,AntiMatter,13.39,Handle,Charged,5.52,Pomel,Beacon,3.71,Weapon Type,Axe,13.57,159.01537397674988,,,
9261,37,184b9d7d3de0e2dc835fc247b6e14f4a,Attack,9,14.61,Barrel,Brute - Sidearm,3.22,Cartridge,Mono Chamber,20.10,Category,Firearm,50.00,Color Scheme,Dark Camo,5.21,Defense,8,22.62,Energy Type,HyperLight,20.07,Grip,Sheared,6.10,Weapon Type,Sidearm,16.94,95.76956780303384,,,
3407,38,356d50fc72dc360dc44317f03ce1256a,Attack,11,26.75,Barrel,Ironside - Rifle,2.31,Cartridge,Reinforced,15.15,Category,Firearm,50.00,Color Scheme,Tech Lines,3.96,Defense,9,30.42,Energy Type,AntiMatter,13.39,Grip,Recurved,4.07,Stock,Circut,5.08,145.68650047555985,Weapon Type,Rifle,10.21
7799,39,1a825b5a48793c0f37a25b5dbbbb6fb1,Attack,10,28.78,Blade,Falcon Wing,2.46,Category,Bladed,50.00,Color Scheme,Carbon Fiber,5.28,Defense,10,22.66,Energy Type,Helios,19.63,Handle,Encased,7.95,Pomel,Icosa,8.33,Weapon Type,Sword,16.20,105.32799955623861,,,
2276,40,2b5aff20fba5fb0b5e50b69d463cad2e,Attack,8,2.94,Blade,Breaker,3.11,Category,Bladed,50.00,Color Scheme,Sandstorm,5.70,Defense,11,11.74,Energy Type,HyperLight,20.07,Handle,Helix,2.05,Pomel,Icosa,8.33,Weapon Type,Sword,16.20,166.17038375938859,,,
5358,41,41aed7a64db6edc620436000cec78bf5,Attack,8,2.94,Blade,Breaker,3.11,Category,Bladed,50.00,Color Scheme,Carbon Fiber,5.28,Defense,9,30.42,Energy Type,HyperLight,20.07,Handle,Ladder Grip,8.14,Pomel,Link,9.40,Weapon Type,Sword,16.20,124.47336189710059,,,
8843,42,225ad90fd5ac6c93e6e9edb038bf1896,Attack,10,28.78,Blade,Twin Ultima,2.79,Category,Bladed,50.00,Color Scheme,Scratched White Paint,5.66,Defense,8,22.62,Energy Type,Helios,19.63,Handle,Encased,7.95,Pomel,Goldberg,9.00,Weapon Type,Sword,16.20,98.36245055724282,,,
7524,43,546a657111893b411dacd68c942a2122,Attack,9,14.61,Barrel,Ironside - SMG,3.94,Cartridge,Reinforced,15.15,Category,Firearm,50.00,Color Scheme,Tech Panels,5.19,Defense,9,30.42,Energy Type,HyperLight,20.07,Grip,Widow,7.87,Stock,Fixed Hollow,5.03,107.27599914591553,Weapon Type,SMG,15.81
9827,44,900d7d0f29b98f057aa538e0a271941b,Attack,9,14.61,Barrel,Warhawk - Sidearm,4.45,Cartridge,Mono Chamber,20.10,Category,Firearm,50.00,Color Scheme,Striped,5.23,Defense,8,22.62,Energy Type,AntiMatter,13.39,Grip,Carved,6.94,Weapon Type,Sidearm,16.94,87.61365635797584,,,
5709,45,12cfd64eda0c320db852bd403c5710e8,Attack,11,26.75,Blade,The Butcher,2.76,Category,Bladed,50.00,Color Scheme,Damascus,2.92,Defense,9,30.42,Energy Type,Helios,19.63,Handle,Charged,5.52,Pomel,Spiral,7.28,Weapon Type,Knife,20.23,121.39369113923462,,,
9580,46,9b679d73504a19e4963f5747be6e820a,Attack,10,28.78,Barrel,Brute - Sidearm,3.22,Cartridge,Mono Chamber,20.10,Category,Firearm,50.00,Color Scheme,Rubber,4.31,Defense,8,22.62,Energy Type,Helios,19.63,Grip,Hollow Glow,8.05,Weapon Type,Sidearm,16.94,92.54817427551548,,,
621,47,2e9698b6fa8d7e1787888d547c8204a5,Attack,14,2.42,Barrel,Gauntlet,0.94,Cartridge,Reinforced,15.15,Category,Firearm,50.00,Color Scheme,Damascus,2.92,Defense,12,4.18,Energy Type,Valorite,10.09,Grip,Hollow Glow,8.05,Weapon Type,Blaster,7.04,251.01368163555736,,,
7525,48,ac4ed7767cbd801ef266fd7c1e958f31,Attack,12,16.48,Blade,The Butcher,2.76,Category,Bladed,50.00,Color Scheme,Rusty,5.91,Defense,8,22.62,Energy Type,Helios,19.63,Handle,Charged,5.52,Pomel,Orical,7.42,Weapon Type,Knife,20.23,107.27161370081039,,,
9616,49,bcb411cc69f558e732ff00b0ebbc16c7,Attack,9,14.61,Barrel,Warhawk - Sidearm,4.45,Cartridge,Mono Chamber,20.10,Category,Firearm,50.00,Color Scheme,Ivory,6.16,Defense,7,7.57,Energy Type,HyperLight - Focused,15.74,Grip,Arch,7.06,Weapon Type,Sidearm,16.94,92.15620114504017,,,
1354,50,fdeb3d824a1dd112d59e987a098386dd,Attack,10,28.78,Blade,Maco,2.79,Category,Bladed,50.00,Color Scheme,Chrome,0.84,Defense,9,30.42,Energy Type,Helios,19.63,Handle,Encased,7.95,Pomel,Goldberg,9.00,Weapon Type,Knife,20.23,197.3789837975886,,,
7617,51,f92224f0744a3f5d203b04f910b9eec7,Attack,9,14.61,Blade,Vulture,3.15,Category,Bladed,50.00,Color Scheme,Tech Panels,5.19,Defense,7,7.57,Energy Type,HyperLight,20.07,Handle,Encased,7.95,Pomel,Goldberg,9.00,Weapon Type,Knife,20.23,106.68396331177784,,,
4563,52,7cc17927cff6561cf929f062a602480b,Attack,9,14.61,Blade,Straight Edge,3.31,Category,Bladed,50.00,Color Scheme,Scratched Black Paint,6.06,Defense,9,30.42,Energy Type,HyperLight,20.07,Handle,Bolstered,3.60,Pomel,Omni,2.85,Weapon Type,Sword,16.20,132.8659660935721,,,
4028,53,08ba1017da667a517d9464d52b4f8b5a,Attack,12,16.48,Blade,Guillotine,1.58,Category,Bladed,50.00,Color Scheme,Dark Camo,5.21,Defense,10,22.66,Energy Type,Helios - Charged,10.13,Handle,Encased,7.95,Pomel,Orical,7.42,Weapon Type,Axe,13.57,138.26259140698224,,,
6677,54,9174bf5ece70679689e902cc8a9b8570,Attack,10,28.78,Blade,Twin Ultima,2.79,Category,Bladed,50.00,Color Scheme,Luminescent,3.61,Defense,8,22.62,Energy Type,Helios,19.63,Handle,Charged,5.52,Pomel,Link,9.40,Weapon Type,Sword,16.20,113.45994949721894,,,
8285,55,d83d6881a7b63529a64dc8074084ec9b,Attack,9,14.61,Blade,Breaker,3.11,Category,Bladed,50.00,Color Scheme,Tech Panels,5.19,Defense,10,22.66,Energy Type,AntiMatter,13.39,Handle,Caged,7.89,Pomel,Goldberg,9.00,Weapon Type,Sword,16.20,102.1063349474964,,,
1312,56,1b74b3e5911ac64ae05698476d072f2f,Attack,13,7.36,Barrel,Warhawk - Rifle,2.58,Cartridge,Reactor,5.05,Category,Firearm,50.00,Color Scheme,Tech Lines,3.96,Defense,10,22.66,Energy Type,Valorite - Concentrated,5.15,Grip,Hollow Glow,8.05,Stock,Scythe,1.86,199.21181069188125,Weapon Type,Rifle,10.21
5221,57,a09ae4f04551ef180b92ee46396b2e65,Attack,12,16.48,Barrel,Ironside - Blaster,1.76,Cartridge,Mono Chamber,20.10,Category,Firearm,50.00,Color Scheme,Scratched Black Paint,6.06,Defense,9,30.42,Energy Type,AntiMatter,13.39,Grip,Carved,6.94,Weapon Type,Blaster,7.04,125.73225575798209,,,
1465,58,6608b9b04cabdf343f8bc7142863d14b,Attack,11,26.75,Blade,Twin Ultima,2.79,Category,Bladed,50.00,Color Scheme,Carbon Fiber,5.28,Defense,10,22.66,Energy Type,Helios,19.63,Handle,Chamber,0.97,Pomel,Spiral,7.28,Weapon Type,Sword,16.20,193.0291985211339,,,
8914,59,d9c9c258afe5085d2c6e8340bc91e36d,Attack,9,14.61,Blade,Ripper,3.22,Category,Bladed,50.00,Color Scheme,Rusty,5.91,Defense,10,22.66,Energy Type,AntiMatter,13.39,Handle,Ladder Grip,8.14,Pomel,Icosa,8.33,Weapon Type,Knife,20.23,97.9352918610098,,,
4252,60,fb6f49cebbc7379ab7eaf2a216fa68a8,Attack,10,28.78,Blade,Hollow Point,3.42,Category,Bladed,50.00,Color Scheme,Gold Plated,2.22,Defense,7,7.57,Energy Type,HyperLight - Focused,15.74,Handle,Charged,5.52,Pomel,Orical,7.42,Weapon Type,Knife,20.23,135.85891078267454,,,
4697,61,ef1aa8af373e3f4fa7e767fe823a931d,Attack,10,28.78,Blade,Barbarian,1.98,Category,Bladed,50.00,Color Scheme,Midnight Blue,6.35,Defense,11,11.74,Energy Type,Helios,19.63,Handle,Bolstered,3.60,Pomel,Icosa,8.33,Weapon Type,Sword,16.20,131.29526743786397,,,
5736,62,29bb28ea880ee0df9f28fe3a4fae3856,Attack,12,16.48,Barrel,Phaser,2.95,Cartridge,Reinforced,15.15,Category,Firearm,50.00,Color Scheme,Silver Panels,3.76,Defense,11,11.74,Energy Type,AntiMatter - Dark,5.73,Grip,Arch,7.06,Weapon Type,Sidearm,16.94,121.20005921171695,,,
6802,63,89c05e600e5ba6b14905ea8d0ed323ec,Attack,9,14.61,Barrel,Brute - SMG,3.74,Cartridge,Mono Chamber,20.10,Category,Firearm,50.00,Color Scheme,Rubber,4.31,Defense,9,30.42,Energy Type,HyperLight,20.07,Grip,Carved,6.94,Stock,Fixed Hollow,5.03,112.64449572208123,Weapon Type,SMG,15.81
6483,64,65111cb718c41ab8afcc00f38e17c6bc,Attack,10,28.78,Barrel,Ironside - Sidearm,4.39,Cartridge,Reinforced,15.15,Category,Firearm,50.00,Color Scheme,Ivory,6.16,Defense,9,30.42,Energy Type,Helios,19.63,Grip,Flintlock,2.02,Weapon Type,Sidearm,16.94,114.87779744414016,,,
2373,65,1caf8dd268ba0dd650713cf7f55dc49a,Attack,11,26.75,Blade,Wolf Fang,1.11,Category,Bladed,50.00,Color Scheme,Ivory,6.16,Defense,10,22.66,Energy Type,HyperLight - Focused,15.74,Handle,Tusk,4.52,Pomel,Spiral,7.28,Weapon Type,Knife,20.23,163.6317881724878,,,
9541,66,67ee2c77c631760d091d6432a347e945,Attack,10,28.78,Barrel,Brute - Sidearm,3.22,Cartridge,Reinforced,15.15,Category,Firearm,50.00,Color Scheme,Tech Panels,5.19,Defense,9,30.42,Energy Type,Helios,19.63,Grip,Sheared,6.10,Weapon Type,Sidearm,16.94,93.07720341524183,,,
9216,67,64129b1c760ac679a1ce54a04b2da2f3,Attack,10,28.78,Blade,Ripper,3.22,Category,Bladed,50.00,Color Scheme,Scratched White Paint,5.66,Defense,8,22.62,Energy Type,HyperLight - Focused,15.74,Handle,Conical,7.86,Pomel,Orical,7.42,Weapon Type,Knife,20.23,96.11537594100453,,,
2068,68,d74cc3ee7ec21631f305285deae652d6,Attack,13,7.36,Barrel,Ironside - Blaster,1.76,Cartridge,Mono Chamber,20.10,Category,Firearm,50.00,Color Scheme,Gold Plated,2.22,Defense,10,22.66,Energy Type,AntiMatter - Dark,5.73,Grip,Widow,7.87,Weapon Type,Blaster,7.04,171.2014031688691,,,
5979,69,7dec8d2b06035943ec6fa919bac5083e,Attack,9,14.61,Barrel,Warhawk - SMG,4.30,Cartridge,Mono Chamber,20.10,Category,Firearm,50.00,Color Scheme,Rusty,5.91,Defense,8,22.62,Energy Type,HyperLight - Focused,15.74,Grip,Serrated,4.85,Stock,Marksman,3.64,119.18634057799898,Weapon Type,SMG,15.81
1417,70,962556039086f94552c43988241bdd00,Attack,13,7.36,Blade,Falcon Wing,2.46,Category,Bladed,50.00,Color Scheme,Scratched Black Paint,6.06,Defense,12,4.18,Energy Type,Valorite - Concentrated,5.15,Handle,Tusk,4.52,Pomel,Gyroscope,1.98,Weapon Type,Sword,16.20,194.88171771158565,,,
1236,71,179c649a6ccb247a625418144fc770f1,Attack,12,16.48,Barrel,Scorpion,1.52,Cartridge,Reinforced,15.15,Category,Firearm,50.00,Color Scheme,Wooden/Traditional,1.39,Defense,9,30.42,Energy Type,Helios,19.63,Grip,Widow,7.87,Stock,Circut,5.08,202.9679344127326,Weapon Type,Rifle,10.21
3920,72,a60dfb48c7a17cc2a865962a2c3a4759,Attack,11,26.75,Barrel,Mustang,1.30,Cartridge,Mono Chamber,20.10,Category,Firearm,50.00,Color Scheme,Rusty,5.91,Defense,9,30.42,Energy Type,Helios,19.63,Grip,Serrated,4.85,Weapon Type,Sidearm,16.94,139.46029173832002,,,
7306,73,d3e7f0d11e217117038ff24de84ae3ba,Attack,11,26.75,Blade,Hatchet,3.25,Category,Bladed,50.00,Color Scheme,Carbon Fiber,5.28,Defense,10,22.66,Energy Type,Valorite,10.09,Handle,Charged,5.52,Pomel,Spiral,7.28,Weapon Type,Axe,13.57,108.99221042895135,,,
7081,74,e65bb87259154139f86c8bbae525a121,Attack,11,26.75,Barrel,Ironside - SMG,3.94,Cartridge,Hexdrum,9.66,Category,Firearm,50.00,Color Scheme,Striped,5.23,Defense,8,22.62,Energy Type,Helios,19.63,Grip,Carved,6.94,Stock,Fixed Hollow,5.03,110.72161247351852,Weapon Type,SMG,15.81
7493,75,947ee8b723839bf3e02a867f133f1c26,Attack,11,26.75,Barrel,Ironside - Sidearm,4.39,Cartridge,Reactor,5.05,Category,Firearm,50.00,Color Scheme,Dark Camo,5.21,Defense,8,22.62,Energy Type,Helios,19.63,Grip,Recurved,4.07,Weapon Type,Sidearm,16.94,107.50152148672808,,,
6317,76,c4f11e3d10d7dd671e4e7c64a44f3411,Attack,12,16.48,Blade,Maco,2.79,Category,Bladed,50.00,Color Scheme,Midnight Blue,6.35,Defense,11,11.74,Energy Type,Valorite - Concentrated,5.15,Handle,Encased,7.95,Pomel,Goldberg,9.00,Weapon Type,Knife,20.23,116.2265310553545,,,
1566,77,b1cb55dc04a487fedef9b66c12d09d37,Attack,12,16.48,Barrel,Scorpion,1.52,Cartridge,Hexdrum,9.66,Category,Firearm,50.00,Color Scheme,Gold Plated,2.22,Defense,8,22.62,Energy Type,HyperLight,20.07,Grip,Hollow Glow,8.05,Stock,Shock Absorber,3.64,188.3470813099985,Weapon Type,Rifle,10.21
3284,78,552a6da32fe7219bef55f6b6a09c300a,Attack,10,28.78,Barrel,Brute - SMG,3.74,Cartridge,Mono Chamber,20.10,Category,Firearm,50.00,Color Scheme,Hex Tile,3.90,Defense,10,22.66,Energy Type,AntiMatter,13.39,Grip,Hollow Glow,8.05,Stock,Scythe,1.86,147.22098745591498,Weapon Type,SMG,15.81
1836,79,7e74ecfa9ba2bae564e29f96c36c5ee9,Attack,13,7.36,Barrel,Mustang,1.30,Cartridge,Mono Chamber,20.10,Category,Firearm,50.00,Color Scheme,Rubber,4.31,Defense,11,11.74,Energy Type,Valorite - Concentrated,5.15,Grip,Recurved,4.07,Weapon Type,Sidearm,16.94,179.095589554851,,,
5016,80,b4c3f896885734669632b94ffefe37f0,Attack,13,7.36,Blade,The Butcher,2.76,Category,Bladed,50.00,Color Scheme,Army Green,5.81,Defense,10,22.66,Energy Type,Valorite,10.09,Handle,Caged,7.89,Pomel,Beacon,3.71,Weapon Type,Knife,20.23,127.92601283797619,,,
